Frequency(Hz)	Mag_Ydd(dB)	Mag_Ydq(dB)	Mag_Yqd(dB)	Mag_Yqq(dB)	Phase_Ydd(deg)	Phase_Ydq(deg)	Phase_Yqd(deg)	Phase_Yqq(deg)
5.700000000000000000e+01	-3.779292035964373753e+01	-3.896435924500749337e+01	-3.896435924500544701e+01	-3.779292035965299590e+01	-5.679426538673233438e+01	3.821924381119767133e+01	-1.417807561889197814e+02	-5.679426538669117974e+01
5.800000000000000000e+01	-3.852509924325482871e+01	-3.984646316351485495e+01	-3.984646316353011741e+01	-3.852509924324591850e+01	-6.026548836378505314e+01	3.466192637591331049e+01	-1.453380736240232523e+02	-6.026548836390925601e+01
5.900000000000000000e+01	-3.921666082123512354e+01	-4.068542428601156757e+01	-4.068542428602646766e+01	-3.921666082123341823e+01	-6.315765503654862556e+01	3.168656107166782832e+01	-1.483134389282731433e+02	-6.315765503663779157e+01
6.000000000000000000e+01	-3.986683778261776467e+01	-4.148055836808374863e+01	-4.148055836805299634e+01	-3.986683778261043187e+01	-6.559090268757017839e+01	2.917286719172158271e+01	-1.508271328082551577e+02	-6.559090268751072017e+01
6.050000000000000000e+01	-4.017680582606405437e+01	-4.186211391965676398e+01	-4.186211391967500361e+01	-4.017680582607552253e+01	-6.666527936170774638e+01	2.805925729665607804e+01	-1.519407427031791826e+02	-6.666527936171986823e+01
6.100000000000000000e+01	-4.047706436957402332e+01	-4.223337871553432876e+01	-4.223337871554703327e+01	-4.047706436955813558e+01	-6.765786850756674653e+01	2.702807341802473573e+01	-1.529719265820497469e+02	-6.765786850748148140e+01
6.200000000000000000e+01	-4.104979818014428616e+01	-4.294641823866405161e+01	-4.294641823862498597e+01	-4.104979818016546744e+01	-6.942988400711071506e+01	2.518072266849912211e+01	-1.548192773313228940e+02	-6.942988400704575724e+01
6.250000000000000000e+01	-4.132298848764577315e+01	-4.328892595104687757e+01	-4.328892595102976770e+01	-4.132298848764306598e+01	-7.022303934870674880e+01	2.435079739912329444e+01	-1.556492026009507867e+02	-7.022303934877206189e+01
6.350000000000000000e+01	-4.184483038172406566e+01	-4.394777505588925948e+01	-4.394777505591449085e+01	-4.184483038174732172e+01	-7.165212259410407114e+01	2.284989959976805451e+01	-1.571501004003090145e+02	-7.165212259420633245e+01
6.450000000000000000e+01	-4.233630759363778395e+01	-4.457414477748747572e+01	-4.457414477750650406e+01	-4.233630759363919793e+01	-7.290226617167002132e+01	2.153015343478807964e+01	-1.584698465652625146e+02	-7.290226617178319657e+01
6.500000000000000000e+01	-4.257150131148498673e+01	-4.487601181800440031e+01	-4.487601181795255201e+01	-4.257150131148502936e+01	-7.346987755832896028e+01	2.092853859354810453e+01	-1.590714614065309433e+02	-7.346987755824419253e+01
6.600000000000000000e+01	-4.302236590333427557e+01	-4.545871578258484647e+01	-4.545871578260438639e+01	-4.302236590334299393e+01	-7.450595281048188667e+01	1.982599213638847147e+01	-1.601740078636114220e+02	-7.450595281067774067e+01
6.700000000000000000e+01	-4.344912195993412496e+01	-4.601535098887566022e+01	-4.601535098887907793e+01	-4.344912195993441628e+01	-7.542717861249825262e+01	1.884026690991757391e+01	-1.611597330899088831e+02	-7.542717861253855460e+01
6.800000000000000000e+01	-4.385387700327025584e+01	-4.654808207096085226e+01	-4.654808207096994721e+01	-4.385387700329739857e+01	-7.625086435224345394e+01	1.795396717412308263e+01	-1.620460328259982248e+02	-7.625086435247932570e+01
6.850000000000000000e+01	-4.404860333826248109e+01	-4.680609993347105302e+01	-4.680609993349888498e+01	-4.404860333822058038e+01	-7.663064197956882140e+01	1.754356396607375501e+01	-1.624564360339821292e+02	-7.663064197952607515e+01
